supplementary_table,section,section_row,Predictor,Outcome,n,Spearman rho,95% CI low,95% CI high,Unadjusted P value,Holm-adjusted P value,Predictor 1,Predictor 2,Pearson r,Term,Estimate,Model-based SE,t statistic,P value,Model statistic,Value,Primary estimate,Minimum leave-one-country-out estimate,Maximum leave-one-country-out estimate,Country producing largest absolute change,Excluded country,R&D coefficient,Researcher-density coefficient,Country code,"Institutions, n",Cook's distance,Leverage,Standardized weighted residual,title,description,notes
S6,Influence diagnostics,8,,,,,,,,,,,,,,,,,,,,,,,,,,TUR,151,0.0651424007525766,0.148061922586726,-1.49964970949607,,,
S6,Influence diagnostics,9,,,,,,,,,,,,,,,,,,,,,,,,,,GBR,130,0.00350058242130076,0.0600630485196651,-0.573312558294092,,,
S6,Influence diagnostics,10,,,,,,,,,,,,,,,,,,,,,,,,,,DEU,116,7.38161871903356e-05,0.0727493479691236,0.0751338166563556,,,
S6,Influence diagnostics,11,,,,,,,,,,,,,,,,,,,,,,,,,,KOR,102,0.0519730487008012,0.299348160204368,0.854333740377698,,,
S6,Influence diagnostics,12,,,,,,,,,,,,,,,,,,,,,,,,,,PAK,101,0.00836339138841576,0.138206077388259,0.559377481103447,,,
S6,Influence diagnostics,13,,,,,,,,,,,,,,,,,,,,,,,,,,IDN,83,0.00964813664675654,0.104176677639369,0.705542661522946,,,
S6,Influence diagnostics,14,,,,,,,,,,,,,,,,,,,,,,,,,,ITA,81,0.00620260870641301,0.0622764408886512,-0.74858020503192,,,
S6,Influence diagnostics,15,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,78,0.00878369174768735,0.0582024519962065,-0.923468966545257,,,
S6,Influence diagnostics,16,,,,,,,,,,,,,,,,,,,,,,,,,,IRQ,76,0.69268483422408,0.188568896724163,4.22896664866622,,,
S6,Influence diagnostics,17,,,,,,,,,,,,,,,,,,,,,,,,,,UKR,75,0.00445441452020608,0.0741622365001114,0.577626322938283,,,
S6,Influence diagnostics,18,,,,,,,,,,,,,,,,,,,,,,,,,,POL,74,0.00936205931334354,0.0516850776404429,-1.01520798522751,,,
S6,Influence diagnostics,19,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,68,0.00593131635313235,0.0526392342781651,-0.800302337018018,,,
S6,Influence diagnostics,20,,,,,,,,,,,,,,,,,,,,,,,,,,VNM,61,0.00307860850591829,0.119305014152013,0.369263406035284,,,
S6,Influence diagnostics,21,,,,,,,,,,,,,,,,,,,,,,,,,,EGY,55,0.04003556752678,0.128436826737178,1.27674237266475,,,
S6,Influence diagnostics,22,,,,,,,,,,,,,,,,,,,,,,,,,,MEX,54,0.0424068997729477,0.0678499727273347,-1.86965707239982,,,
S6,Influence diagnostics,23,,,,,,,,,,,,,,,,,,,,,,,,,,COL,52,0.00370342082484978,0.221767437342385,-0.279243432408128,,,
S6,Influence diagnostics,24,,,,,,,,,,,,,,,,,,,,,,,,,,DZA,49,0.00107389100233011,0.0632943321214552,-0.308798292519611,,,
S6,Influence diagnostics,25,,,,,,,,,,,,,,,,,,,,,,,,,,CHL,46,0.0216327627949173,0.0907722376028126,-1.14022732037206,,,
S6,Influence diagnostics,26,,,,,,,,,,,,,,,,,,,,,,,,,,MYS,43,0.00358168858023283,0.0454485371450544,0.671829787328403,,,
S6,Influence diagnostics,27,,,,,,,,,,,,,,,,,,,,,,,,,,NGA,43,0.217888569167843,0.270295018909672,-1.87865694728735,,,
S6,Influence diagnostics,28,,,,,,,,,,,,,,,,,,,,,,,,,,PRT,43,0.00405724017641291,0.0392248950775276,0.772184285673805,,,
S6,Influence diagnostics,29,,,,,,,,,,,,,,,,,,,,,,,,,,SAU,43,0.0262370902023048,0.057941688032324,1.59984084543733,,,
S6,Influence diagnostics,30,,,,,,,,,,,,,,,,,,,,,,,,,,THA,42,0.00276822962862497,0.0469832949576002,-0.580437152339753,,,
S6,Influence diagnostics,31,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,35,0.00699824294281099,0.0521654260816634,-0.873464032427685,,,
S6,Influence diagnostics,32,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,33,0.0124836430684863,0.0395665754869306,-1.34839054257633,,,
S6,Influence diagnostics,33,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,33,0.000665214545186517,0.0624323489947539,0.244823421479873,,,
S6,Influence diagnostics,34,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,29,0.0557563087950742,0.0613224202490278,2.26293047654256,,,
S6,Influence diagnostics,35,,,,,,,,,,,,,,,,,,,,,,,,,,ARE,26,2.67126452507276e-05,0.0224784584042773,0.0834860627756617,,,
S6,Influence diagnostics,36,,,,,,,,,,,,,,,,,,,,,,,,,,JOR,26,0.0153379002403522,0.0595137023002815,1.2059417525368,,,
S6,Influence diagnostics,37,,,,,,,,,,,,,,,,,,,,,,,,,,KAZ,25,0.00189541852435733,0.0334474526941298,0.573270239194315,,,
S6,Influence diagnostics,38,,,,,,,,,,,,,,,,,,,,,,,,,,ZAF,25,0.0077857908021353,0.045723055530007,-0.987407867817943,,,
S6,Influence diagnostics,39,,,,,,,,,,,,,,,,,,,,,,,,,,NLD,24,0.000549825558859903,0.0265918707535601,-0.347505054750074,,,
S6,Influence diagnostics,40,,,,,,,,,,,,,,,,,,,,,,,,,,AUT,23,0.000220626717148656,0.0431061993003135,-0.171422048588628,,,
S6,Influence diagnostics,41,,,,,,,,,,,,,,,,,,,,,,,,,,CZE,22,6.04720427717954e-05,0.0212705706528945,0.129209574964893,,,
S6,Influence diagnostics,42,,,,,,,,,,,,,,,,,,,,,,,,,,GRC,22,0.000172294105459805,0.0243866324303771,-0.203363866272953,,,
S6,Influence diagnostics,43,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,22,1.0393309499036e-06,0.0278240308345674,-0.0147609725693134,,,
S6,Influence diagnostics,44,,,,,,,,,,,,,,,,,,,,,,,,,,BGR,19,1.22412623380238e-05,0.0224669928478711,-0.0565303884306252,,,
S6,Influence diagnostics,45,,,,,,,,,,,,,,,,,,,,,,,,,,CHE,19,0.000190170447456749,0.0393731303600889,-0.166849354975026,,,
S6,Influence diagnostics,46,,,,,,,,,,,,,,,,,,,,,,,,,,PHL,19,0.00012612391765319,0.0424487224767281,-0.130654104959014,,,
S6,Influence diagnostics,47,,,,,,,,,,,,,,,,,,,,,,,,,,TUN,18,0.00103541588154642,0.0689331799344134,0.289673858797505,,,
S6,Influence diagnostics,48,,,,,,,,,,,,,,,,,,,,,,,,,,HUN,17,8.80338200381287e-05,0.020020080388189,-0.160796310244309,,,
S6,Influence diagnostics,49,,,,,,,,,,,,,,,,,,,,,,,,,,SVK,17,0.00029973974964966,0.0202770331579002,-0.294779470306732,,,
S6,Influence diagnostics,50,,,,,,,,,,,,,,,,,,,,,,,,,,IRL,14,0.000373441713186935,0.0192956989529121,-0.337462734372328,,,
S6,Influence diagnostics,51,,,,,,,,,,,,,,,,,,,,,,,,,,CYP,12,1.84687770396765e-05,0.0173890606785703,-0.0791311414388279,,,
S6,Influence diagnostics,52,,,,,,,,,,,,,,,,,,,,,,,,,,FIN,12,1.33104316588246e-06,0.0294746290000803,-0.0162162700475828,,,
S6,Influence diagnostics,53,,,,,,,,,,,,,,,,,,,,,,,,,,HKG,12,2.97872362900374e-05,0.0200691030666021,-0.0934166898477278,,,
S6,Influence diagnostics,54,,,,,,,,,,,,,,,,,,,,,,,,,,LKA,12,0.00450110355288402,0.0442760091634715,-0.763514232514912,,,
S6,Influence diagnostics,55,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,11,3.21395998424481e-05,0.0316622795986415,0.0767959279990678,,,
S6,Influence diagnostics,56,,,,,,,,,,,,,,,,,,,,,,,,,,AZE,10,0.000309504834280861,0.0224851838339337,0.284133732637028,,,
S6,Influence diagnostics,57,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,10,0.000572650678297363,0.0146399801839669,-0.480892206780005,,,
S6,Influence diagnostics,58,,,,,,,,,,,,,,,,,,,,,,,,,,KEN,10,0.00262037744835983,0.0357361048457762,-0.651331223460156,,,
S6,Influence diagnostics,59,,,,,,,,,,,,,,,,,,,,,,,,,,OMN,10,0.000441827132774612,0.0224362195200247,-0.339859588549196,,,
