supplementary_table,section,section_row,Country or territory code,"Institutions, n",Mean IRIS Overall score,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Significant (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S2,Country summary,59,GHA,14,-0.0734285714285714,-0.197,0.4129793651551564,28.57142857142857,42.85714285714285,28.57142857142857,0,28.57142857142857,2222,949.5,0.6750714285714285,0.0726428571428571,-0.5442857142857143,0.2820714285714286,-0.8382142857142857,-0.0550714285714286,-0.860142857142857,-0.268,-0.6877142857142857,,,
S2,Country summary,60,IRL,14,-0.1083571428571428,-0.176,0.2962949692303411,21.428571428571427,57.14285714285714,21.428571428571427,0,21.428571428571427,7234.928571428572,5645,0.5988571428571429,0.1887142857142856,-0.5372142857142858,-0.3344285714285714,-0.1617142857142857,-0.4140714285714286,-0.7152857142857143,-0.268,-0.0817857142857142,,,
S2,Country summary,61,CYP,12,0.3239166666666666,0.079,0.5795431521047549,8.333333333333332,41.66666666666667,33.33333333333333,16.666666666666664,50,2498.6666666666665,2030,1.1791666666666667,0.4895833333333333,0.0713333333333333,0.2284999999999999,-0.2555,0.04025,0.3999166666666667,-0.268,0.1490833333333333,,,
S2,Country summary,62,FIN,12,-0.0995833333333333,-0.095,0.1122679087421393,8.333333333333332,75,16.666666666666664,0,16.666666666666664,10874.25,10545,1.4218333333333333,-0.1733333333333333,-0.3323333333333333,-0.3866666666666666,0.0726666666666666,-0.495,-0.2803333333333332,-0.2401666666666667,-0.4504166666666667,,,
S2,Country summary,63,HKG,12,0.0993333333333333,-0.091,0.8453746166193082,16.666666666666664,50,25,8.333333333333332,33.33333333333333,16654.166666666668,6800,0.2781666666666667,0.7180000000000001,-0.6226666666666667,-0.3330833333333333,-0.6195,-0.4300833333333334,0.6241666666666666,-0.2665,-0.5854166666666667,,,
S2,Country summary,64,LKA,12,0.097,-0.154,0.5867647817404426,33.33333333333333,25,33.33333333333333,8.333333333333332,41.66666666666667,1637.0833333333333,1523,0.5156666666666666,0.14675,-0.3270833333333333,-0.0331666666666666,1.09625,0.7764999999999999,-0.2704166666666666,-0.268,-0.3096666666666667,,,
S2,Country summary,65,BEL,11,-0.0026363636363636,-0.005,0.0752718708778687,0,54.54545454545454,45.45454545454545,0,45.45454545454545,16702.090909090908,14938,1.5556363636363637,-0.2808181818181818,-0.2286363636363636,-0.4671818181818182,0.7694545454545454,0.3302727272727273,-0.0172727272727272,-0.2202727272727273,-0.0055454545454545,,,
S2,Country summary,66,AZE,10,0.7068,0.5755,0.7889501885417102,0,10,70,20,90,945.2,724.5,2.5871,0.0212,2.8038,1.6267,-1.0546,-0.2721000000000001,0.0476,-0.268,1.2955,,,
S2,Country summary,67,HRV,10,-0.1104,-0.12,0.1951200200446438,20,40,40,0,40,4423.5,1097,-0.2142,-0.2117,-0.0567,-0.2478,0.1369999999999999,0.8948999999999999,-0.4776999999999999,0.5410999999999999,-0.6193000000000001,,,
S2,Country summary,68,KEN,10,-0.1243,-0.26,0.2931643642130545,40,40,20,0,20,1263.3,691.5,-0.1046999999999999,0.0276999999999999,-0.7244,0.1704,-0.0317999999999999,0.7885,-1.3829999999999998,-0.268,0.1475999999999999,,,
